���t,���v
2020-01-25,11
2020-01-26,12
2020-01-27,38
2020-01-28,37
2020-01-29,73
2020-01-30,103
2020-01-31,124
2020-02-01,65
2020-02-02,58
2020-02-03,114
2020-02-04,84
2020-02-05,88
2020-02-06,79
2020-02-07,81
2020-02-08,45
2020-02-09,29
2020-02-10,87
2020-02-11,48
2020-02-12,66
2020-02-13,48
2020-02-14,278
2020-02-15,244
2020-02-16,230
2020-02-17,349
2020-02-18,274
2020-02-19,294
2020-02-20,252
2020-02-21,297
2020-02-22,259
2020-02-23,279
2020-02-24,371
2020-02-25,440
2020-02-26,336
2020-02-27,387
2020-02-28,346
2020-02-29,326
2020-03-01,344
2020-03-02,376
2020-03-03,362
2020-03-04,262
2020-03-05,296
2020-03-06,308
2020-03-07,271
2020-03-08,270
2020-03-09,457
2020-03-10,335
2020-03-11,266
2020-03-12,284
2020-03-13,283
2020-03-14,217
2020-03-15,218
2020-03-16,284
2020-03-17,268
2020-03-18,281
2020-03-19,259
2020-03-20,209
2020-03-21,219
2020-03-22,195
2020-03-23,285
2020-03-24,255
2020-03-25,319
2020-03-26,470
2020-03-27,366
2020-03-28,458
2020-03-29,397
2020-03-30,479
2020-03-31,422
2020-04-01,305
2020-04-02,306
2020-04-03,361
2020-04-04,383
2020-04-05,439
2020-04-06,447
2020-04-07,332
2020-04-08,397
